match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,Match_Id,batting_avg,batting_sr,runs % by boundary,avg_balls_faced,majorityPosition,total_bat_innings,total_runs
India Vs South Africa,India,1,Rohit Sharma,9,5,2,0,180.0,out,T20I # 2729,36.71,156.71,72.37,20.0,1,8,257
India Vs South Africa,India,2,Virat Kohli,76,59,6,2,128.81,out,T20I # 2729,18.88,112.69,49.01,17.0,2,8,151
India Vs South Africa,India,3,Rishabh Pant,0,2,0,0,0.0,out,T20I # 2729,24.43,127.61,65.5,17.0,3,8,171
India Vs South Africa,India,4,Suryakumar Yadav,3,4,0,0,75.0,out,T20I # 2729,28.43,135.37,60.3,18.0,4,8,199
India Vs South Africa,India,5,Axar Patel,47,31,1,4,151.61,out,T20I # 2729,23.0,139.39,60.87,13.0,8,5,92
India Vs South Africa,India,6,Shivam Dube,27,16,3,1,168.75,out,T20I # 2729,22.17,114.66,49.62,14.0,5,8,133
India Vs South Africa,India,7,Hardik Pandya,5,2,1,0,250.0,not out,T20I # 2729,48.0,151.58,68.06,16.0,6,6,144
India Vs South Africa,India,8,Ravindra Jadeja,2,2,0,0,100.0,out,T20I # 2729,11.67,159.09,51.43,4.0,8,5,35
India Vs South Africa,South Africa,1,Reeza Hendricks,4,5,1,0,80.0,out,T20I # 2729,14.12,87.6,54.87,14.0,2,9,113
India Vs South Africa,South Africa,2,Quinton de Kock,39,31,4,1,125.8,out,T20I # 2729,27.0,140.46,66.67,19.0,1,9,243
India Vs South Africa,South Africa,3,Aiden Markram,4,5,1,0,80.0,out,T20I # 2729,15.38,100.82,55.28,14.0,3,9,123
India Vs South Africa,South Africa,4,Tristan Stubbs,31,21,3,1,147.61,out,T20I # 2729,33.0,101.23,42.42,20.0,4,8,165
India Vs South Africa,South Africa,5,Heinrich Klaasen,52,27,2,5,192.59,out,T20I # 2729,31.67,126.67,60.0,19.0,5,8,190
India Vs South Africa,South Africa,6,David Miller,21,17,1,1,123.52,out,T20I # 2729,28.17,102.42,52.07,21.0,6,8,169
India Vs South Africa,South Africa,7,Marco Jansen,2,4,0,0,50.0,out,T20I # 2729,8.0,96.97,31.25,6.0,7,6,32
India Vs South Africa,South Africa,8,Keshav Maharaj,2,7,0,0,28.57,not out,T20I # 2729,13.0,54.17,30.77,5.0,8,5,13
India Vs South Africa,South Africa,9,Kagiso Rabada,4,3,1,0,133.33,out,T20I # 2729,4.5,128.57,88.89,2.0,9,3,9
India Vs South Africa,South Africa,10,Anrich Nortje,1,1,0,0,100.0,not out,T20I # 2729,1.0,100.0,0.0,1.0,10,1,1
India Vs England,India,1,Rohit Sharma,57,39,6,2,146.15,out,T20I # 2724,36.71,156.71,72.37,20.0,1,8,257
India Vs England,India,2,Virat Kohli,9,9,0,1,100.0,out,T20I # 2724,18.88,112.69,49.01,17.0,2,8,151
India Vs England,India,3,Rishabh Pant,4,6,0,0,66.66,out,T20I # 2724,24.43,127.61,65.5,17.0,3,8,171
India Vs England,India,4,Suryakumar Yadav,47,36,4,2,130.55,out,T20I # 2724,28.43,135.37,60.3,18.0,4,8,199
India Vs England,India,5,Hardik Pandya,23,13,1,2,176.92,out,T20I # 2724,48.0,151.58,68.06,16.0,6,6,144
India Vs England,India,6,Ravindra Jadeja,17,9,2,0,188.88,not out,T20I # 2724,11.67,159.09,51.43,4.0,8,5,35
India Vs England,India,7,Shivam Dube,0,1,0,0,0.0,out,T20I # 2724,22.17,114.66,49.62,14.0,5,8,133
India Vs England,India,8,Axar Patel,10,6,0,1,166.66,out,T20I # 2724,23.0,139.39,60.87,13.0,8,5,92
India Vs England,India,9,Arshdeep Singh,1,1,0,0,100.0,not out,T20I # 2724,12.0,75.0,33.33,5.0,9,3,12
India Vs England,England,1,Phil Salt,5,8,0,0,62.5,out,T20I # 2724,37.6,159.32,65.96,17.0,1,7,188
India Vs England,England,2,Jos Buttler,23,15,4,0,153.33,out,T20I # 2724,42.8,158.52,69.16,19.0,2,7,214
India Vs England,England,3,Moeen Ali,8,10,0,0,80.0,out,T20I # 2724,14.2,139.22,53.52,10.0,3,5,71
India Vs England,England,4,Jonny Bairstow,0,3,0,0,0.0,out,T20I # 2724,27.5,134.15,61.82,14.0,4,6,110
India Vs England,England,5,Harry Brook,25,19,3,0,131.57,out,T20I # 2724,72.5,157.61,52.41,23.0,5,4,145
India Vs England,England,6,Sam Curran,2,4,0,0,50.0,out,T20I # 2724,12.0,109.09,33.33,6.0,7,2,12
India Vs England,England,7,Liam Livingstone,11,16,0,0,68.75,out,T20I # 2724,18.0,146.94,58.33,12.0,6,4,72
India Vs England,England,8,Chris Jordan,1,5,0,0,20.0,out,T20I # 2724,2.0,25.0,0.0,4.0,8,2,2
India Vs England,England,9,Jofra Archer,21,15,1,2,140.0,out,T20I # 2724,22.0,129.41,72.73,8.0,8,2,22
India Vs England,England,10,Adil Rashid,2,2,0,0,100.0,out,T20I # 2724,2.0,100.0,0.0,2.0,10,1,2
India Vs England,England,11,Reece Topley,3,3,0,0,100.0,not out,T20I # 2724,3.0,100.0,0.0,3.0,11,1,3
