match,bowlingTeam,bowlerName,overs,maiden,runsConceded,wickets,economy,dotBalls,4s_Conceded,6s_Conceded,wides,noBalls,Match_Id,bowling_avg,bowling_sr,bowling_ecn,total_bowl_innings,total_wickets
India Vs South Africa,South Africa,Marco Jansen,4.0,0,49,1,12.25,4,5,2,1,1,T20I # 2729,30.43,26.71,6.85,9.0,7.0
India Vs South Africa,South Africa,Keshav Maharaj,3.0,0,23,2,7.66,10,3,1,0,0,T20I # 2729,15.91,15.27,6.25,8.0,11.0
India Vs South Africa,South Africa,Kagiso Rabada,4.0,0,36,1,9.0,8,2,2,2,0,T20I # 2729,15.0,14.31,6.29,9.0,13.0
India Vs South Africa,South Africa,Aiden Markram,2.0,0,16,0,8.0,1,0,1,0,0,T20I # 2729,34.5,30.0,6.9,5.0,2.0
India Vs South Africa,South Africa,Anrich Nortje,4.0,0,26,2,6.5,7,2,0,2,0,T20I # 2729,13.4,14.0,5.74,9.0,15.0
India Vs South Africa,South Africa,Tabraiz Shamsi,3.0,0,26,0,8.66,4,1,1,1,0,T20I # 2729,11.64,9.18,7.76,5.0,11.0
India Vs South Africa,India,Arshdeep Singh,4.0,0,20,2,5.0,12,2,0,0,0,T20I # 2729,12.65,10.59,7.17,8.0,17.0
India Vs South Africa,India,Jasprit Bumrah,4.0,0,18,2,4.5,14,2,0,0,0,T20I # 2729,8.27,11.87,4.22,8.0,15.0
India Vs South Africa,India,Axar Patel,4.0,0,49,1,12.25,8,5,3,2,0,T20I # 2729,19.22,14.67,7.86,8.0,9.0
India Vs South Africa,India,Kuldeep Yadav,4.0,0,45,0,11.25,6,3,3,0,0,T20I # 2729,13.9,12.0,6.95,5.0,10.0
India Vs South Africa,India,Hardik Pandya,3.0,0,20,3,6.66,9,1,1,1,1,T20I # 2729,17.36,13.64,7.64,8.0,11.0
India Vs South Africa,India,Ravindra Jadeja,1.0,0,12,0,12.0,0,0,1,0,0,T20I # 2729,106.0,84.0,7.57,7.0,1.0
India Vs England,England,Reece Topley,3.0,0,25,1,8.33,8,3,1,0,0,T20I # 2724,60.5,54.0,6.72,6.0,2.0
India Vs England,England,Jofra Archer,4.0,0,33,1,8.25,7,4,0,0,0,T20I # 2724,19.0,15.8,7.25,8.0,10.0
India Vs England,England,Sam Curran,2.0,0,25,1,12.5,3,2,2,0,0,T20I # 2724,38.33,24.0,9.58,5.0,3.0
India Vs England,England,Adil Rashid,4.0,0,25,1,6.25,9,3,0,0,0,T20I # 2724,18.6,16.8,6.64,8.0,10.0
India Vs England,England,Chris Jordan,3.0,0,37,3,12.33,4,0,4,0,0,T20I # 2724,13.4,8.3,9.93,5.0,10.0
India Vs England,England,Liam Livingstone,4.0,0,24,0,6.0,9,1,1,1,0,T20I # 2724,27.67,22.0,7.55,4.0,3.0
India Vs England,India,Arshdeep Singh,2.0,0,17,0,8.5,5,3,0,0,0,T20I # 2724,12.65,10.59,7.17,8.0,17.0
India Vs England,India,Jasprit Bumrah,2.4,0,12,2,4.5,8,1,0,0,0,T20I # 2724,8.27,11.87,4.22,8.0,15.0
India Vs England,India,Axar Patel,4.0,0,23,3,5.75,10,0,1,0,0,T20I # 2724,19.22,14.67,7.86,8.0,9.0
India Vs England,India,Kuldeep Yadav,4.0,0,19,3,4.75,12,2,0,0,0,T20I # 2724,13.9,12.0,6.95,5.0,10.0
India Vs England,India,Ravindra Jadeja,3.0,0,16,0,5.33,6,1,0,0,0,T20I # 2724,106.0,84.0,7.57,7.0,1.0
India Vs England,India,Hardik Pandya,1.0,0,14,0,14.0,1,1,1,0,0,T20I # 2724,17.36,13.64,7.64,8.0,11.0
Afghanistan Vs South Africa,South Africa,Marco Jansen,3.0,0,16,3,5.33,13,2,0,4,0,T20I # 2723,30.43,26.71,6.85,9.0,7.0
Afghanistan Vs South Africa,South Africa,Keshav Maharaj,1.0,0,6,0,6.0,3,1,0,0,0,T20I # 2723,15.91,15.27,6.25,8.0,11.0
Afghanistan Vs South Africa,South Africa,Kagiso Rabada,3.0,1,14,2,4.66,13,3,0,0,0,T20I # 2723,15.0,14.31,6.29,9.0,13.0
Afghanistan Vs South Africa,South Africa,Anrich Nortje,3.0,0,7,2,2.33,14,0,0,1,0,T20I # 2723,13.4,14.0,5.74,9.0,15.0
Afghanistan Vs South Africa,South Africa,Tabraiz Shamsi,1.5,0,6,3,3.27,9,1,0,1,0,T20I # 2723,11.64,9.18,7.76,5.0,11.0
Afghanistan Vs South Africa,Afghanistan,Naveen-ul-Haq,3.0,0,15,0,5.0,12,2,0,1,0,T20I # 2723,12.31,12.31,6.15,8.0,13.0
Afghanistan Vs South Africa,Afghanistan,Fazalhaq Farooqi,2.0,0,11,1,5.5,9,2,0,1,0,T20I # 2723,9.41,8.94,6.35,8.0,17.0
Afghanistan Vs South Africa,Afghanistan,Rashid Khan,1.0,0,8,0,8.0,2,1,0,0,0,T20I # 2723,12.79,12.43,6.17,8.0,14.0
Afghanistan Vs South Africa,Afghanistan,Azmatullah Omarzai,1.5,0,18,0,9.81,6,2,1,0,1,T20I # 2723,52.0,33.5,9.72,6.0,2.0
Afghanistan Vs South Africa,Afghanistan,Gulbadin Naib,1.0,0,8,0,8.0,2,1,0,0,0,T20I # 2723,6.71,7.71,5.22,4.0,7.0
Afghanistan Vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,4.0,0,36,0,9.0,9,1,2,1,0,T20I # 2722,13.55,13.09,6.21,7.0,11.0
Afghanistan Vs Bangladesh,Bangladesh,Taskin Ahmed,4.0,1,12,1,3.0,19,0,1,0,0,T20I # 2722,17.12,16.0,6.46,6.0,8.0
Afghanistan Vs Bangladesh,Bangladesh,Shakib Al Hasan,4.0,0,19,0,4.75,11,0,1,0,0,T20I # 2722,43.33,34.67,7.56,6.0,3.0
Afghanistan Vs Bangladesh,Bangladesh,Mustafizur Rahman,4.0,0,17,1,4.25,14,2,0,0,0,T20I # 2722,17.75,19.5,5.46,7.0,8.0
Afghanistan Vs Bangladesh,Bangladesh,Rishad Hossain,4.0,0,26,3,6.5,13,3,0,1,0,T20I # 2722,13.86,10.71,7.76,7.0,14.0
Afghanistan Vs Bangladesh,Afghanistan,Naveen-ul-Haq,3.5,0,26,4,6.78,12,3,1,0,0,T20I # 2722,12.31,12.31,6.15,8.0,13.0
Afghanistan Vs Bangladesh,Afghanistan,Fazalhaq Farooqi,2.0,0,15,1,7.5,3,1,0,2,0,T20I # 2722,9.41,8.94,6.35,8.0,17.0
Afghanistan Vs Bangladesh,Afghanistan,Mohammad Nabi,2.0,0,15,0,7.5,5,2,0,0,0,T20I # 2722,29.33,26.0,6.77,7.0,3.0
Afghanistan Vs Bangladesh,Afghanistan,Rashid Khan,4.0,0,23,4,5.75,9,2,0,1,0,T20I # 2722,12.79,12.43,6.17,8.0,14.0
Afghanistan Vs Bangladesh,Afghanistan,Noor Ahmad,4.0,0,13,0,3.25,18,2,0,0,0,T20I # 2722,98.0,102.0,5.76,6.0,1.0
Afghanistan Vs Bangladesh,Afghanistan,Gulbadin Naib,2.0,0,5,1,2.5,7,0,0,0,0,T20I # 2722,6.71,7.71,5.22,4.0,7.0
India Vs Australia,Australia,Mitchell Starc,4.0,0,45,2,11.25,12,4,4,1,0,T20I # 2721,30.8,21.6,8.56,5.0,5.0
India Vs Australia,Australia,Josh Hazlewood,4.0,0,14,1,3.5,13,1,0,0,0,T20I # 2721,36.25,36.0,6.04,6.0,4.0
India Vs Australia,Australia,Pat Cummins,4.0,0,48,0,12.0,5,4,3,0,0,T20I # 2721,16.0,12.67,7.58,5.0,9.0
India Vs Australia,Australia,Adam Zampa,4.0,0,41,0,10.25,2,1,3,0,0,T20I # 2721,14.38,12.92,6.68,7.0,13.0
India Vs Australia,Australia,Marcus Stoinis,4.0,0,56,2,14.0,6,4,5,1,0,T20I # 2721,15.1,10.2,8.88,6.0,10.0
India Vs Australia,India,Arshdeep Singh,4.0,0,37,3,9.25,12,4,2,2,0,T20I # 2721,12.65,10.59,7.17,8.0,17.0
India Vs Australia,India,Jasprit Bumrah,4.0,0,29,1,7.25,11,3,1,0,0,T20I # 2721,8.27,11.87,4.22,8.0,15.0
India Vs Australia,India,Axar Patel,3.0,0,21,1,7.0,9,2,1,0,0,T20I # 2721,19.22,14.67,7.86,8.0,9.0
India Vs Australia,India,Hardik Pandya,4.0,0,47,0,11.75,8,4,3,1,0,T20I # 2721,17.36,13.64,7.64,8.0,11.0
India Vs Australia,India,Kuldeep Yadav,4.0,0,24,2,6.0,9,1,1,0,0,T20I # 2721,13.9,12.0,6.95,5.0,10.0
India Vs Australia,India,Ravindra Jadeja,1.0,0,17,0,17.0,0,2,1,0,0,T20I # 2721,106.0,84.0,7.57,7.0,1.0
West Indies Vs South Africa,South Africa,Marco Jansen,2.0,0,17,1,8.5,6,2,0,4,0,T20I # 2720,30.43,26.71,6.85,9.0,7.0
West Indies Vs South Africa,South Africa,Aiden Markram,4.0,0,28,1,7.0,11,1,2,2,0,T20I # 2720,34.5,30.0,6.9,5.0,2.0
West Indies Vs South Africa,South Africa,Keshav Maharaj,4.0,0,24,1,6.0,10,1,1,0,0,T20I # 2720,15.91,15.27,6.25,8.0,11.0
West Indies Vs South Africa,South Africa,Anrich Nortje,4.0,0,26,0,6.5,13,1,2,2,0,T20I # 2720,13.4,14.0,5.74,9.0,15.0
West Indies Vs South Africa,South Africa,Tabraiz Shamsi,4.0,0,27,3,6.75,11,3,1,0,0,T20I # 2720,11.64,9.18,7.76,5.0,11.0
West Indies Vs South Africa,South Africa,Kagiso Rabada,2.0,0,11,1,5.5,7,0,1,0,0,T20I # 2720,15.0,14.31,6.29,9.0,13.0
West Indies Vs South Africa,West Indies,Akeal Hosein,3.0,0,31,0,10.33,6,6,0,0,0,T20I # 2720,15.67,16.67,5.64,7.0,9.0
West Indies Vs South Africa,West Indies,Andre Russell,4.0,0,19,2,4.75,13,2,0,1,0,T20I # 2720,12.82,11.0,7.16,7.0,11.0
